CD_MUN,Hierarquia_REGIC
3507506,Centro Subregional
3507605,Centro Subregional
3507902,Centro Local
3508009,Centro Local
3508108,Centro de Zona
3508207,Centro Local
3508306,Centro Local
3508603,Centro Local
3508702,Centro Local
3508801,Centro Local
3509254,Centro Local
3509304,Centro Local
3509403,Centro Local
3509452,Centro Local
3509502,Metrópole
3509700,Centro de Zona
3509809,Centro Local
3509908,Centro Local
3510005,Centro Local
3510104,Centro Local
3510203,Centro Subregional
3510302,Centro Local
3510401,Centro Subregional
3510500,Centro Subregional
3510708,Centro Local
3510807,Centro Local
3510906,Centro Local
3511003,Centro Local
3511102,Capital Regional
3511409,Centro Local
3511508,Centro Subregional
3511607,Centro Local
3511904,Centro Local
3512001,Centro Local
3512209,Centro Local
3512308,Centro Local
3512407,Centro Local
3512605,Centro Local
3512704,Centro Local
3512902,Centro Local
3513306,Centro Local
3513405,Centro Subregional
3513603,Centro Local
3513702,Centro Local
3513900,Centro Local
3514106,Centro Local
3514205,Centro Local
3514304,Centro Local
3514403,Centro Subregional
3514502,Centro Local
3514601,Centro Local
3514700,Centro Local
3514809,Centro Local
3514908,Centro Local
3515152,Centro Local
3515186,Centro de Zona
3515194,Centro Local
3515202,Centro Local
3515350,Centro Local
3515400,Centro Local
3515509,Centro Subregional
3515608,Centro Local
3515657,Centro Local
3515806,Centro Local
3515905,Centro Local
3516002,Centro Local
3516101,Centro Local
3516200,Capital Regional
3516507,Centro Local
3516606,Centro Local
3516705,Centro de Zona
3516804,Centro Local
3516903,Centro Local
3517000,Centro Local
3517109,Centro Local
3517208,Centro Local
3517307,Centro Local
3517406,Centro Local
3517604,Centro Local
3517703,Centro Local
3517802,Centro Local
3517901,Centro Local
3518008,Centro Local
3518107,Centro Local
3518206,Centro Local
3518305,Centro Local
3518404,Capital Regional
3518503,Centro Local
3518602,Centro Local
3518859,Centro Local
3518909,Centro Local
3519006,Centro Local
3519105,Centro Local
3519204,Centro Local
3519253,Centro Local
3519402,Centro Local
3519501,Centro Local
3519600,Centro Subregional
3519709,Centro Local
3519808,Centro Local
3519907,Centro Local
3520103,Centro Local
3520202,Centro Local
3520301,Centro Local
3520442,Centro de Zona
3520509,Centro Subregional
3520707,Centro Local
3520905,Centro Local
3521200,Centro Local
3521309,Centro Local
3521507,Centro Local
3521606,Centro Local
3521705,Centro Local
3521804,Centro Local
3521903,Centro Local
3522000,Centro Local
3522158,Centro Local
3522307,Centro Subregional
3522406,Centro Subregional
3522604,Centro Subregional
3522653,Centro Local
3522703,Centro de Zona
3522802,Centro de Zona
3522901,Centro Local
3523008,Centro Local
3523206,Centro Subregional
3523305,Centro Local
3523404,Centro Subregional
3523503,Centro Local
3523602,Centro Local
3523800,Centro Local
3523909,Centro Subregional
3524105,Centro de Zona
3524204,Centro Local
3524303,Centro Subregional
3524600,Centro Local
3524709,Centro Local
3524808,Centro Subregional
3525300,Capital Regional
3525409,Centro Local
3525508,Centro Local
3525607,Centro Local
3525706,Centro de Zona
3525805,Centro Local
3525854,Centro Local
3525904,Capital Regional
3526001,Centro Local
3526100,Centro Local
3526209,Centro Local
3526308,Centro Local
3526407,Centro de Zona
